kT (keV), MACS (mb)
6.0,0.848353943532845762
7.0,0.7851887919662453687
8.0,0.7342699867795621995
9.0,0.69209245400849586915
10.0,0.6564119965463809139
12.5,0.58677981848909832927
15.0,0.5353891891707604896
17.5,0.4954573838971831035
20.0,0.4632767115862735254
25.0,0.4140874190630592228
30.0,0.37779340326807536932
35.0,0.3495971971045735155
40.0,0.32687736230214327286
45.0,0.30806485646102666482
50.0,0.2921562029082908595
60.0,0.2665600331206333892
70.0,0.24677367834540452792
85.0,0.22456020018816957298
100.0,0.20926075197274359624
