kT (keV), MACS (mb)
6.0,1.0609781663071673248
7.0,0.9820750916212025114
8.0,0.9184849367781729304
9.0,0.86582074871333439584
10.0,0.8212748343208061576
12.5,0.73435282043397939397
15.0,0.67020683685000736796
17.5,0.6203636001331911424
20.0,0.58019372495630872793
25.0,0.51878684680266598853
30.0,0.47347336482080206547
35.0,0.4382791029766352259
40.0,0.4099605447323579997
45.0,0.38659803532670026613
50.0,0.36697545825862264477
60.0,0.33590071425989086865
70.0,0.31247203133997783944
85.0,0.2863107393710127926
100.0,0.2664964177333130293
