kT (keV), MACS (mb)
6.0,1.0787542915756892032
7.0,0.9987313990657271616
8.0,0.9342270891168399747
9.0,0.88079751262197397753
10.0,0.8355978482818014095
12.5,0.74738124795872016876
15.0,0.68226188710299753165
17.5,0.6316508659052197892
20.0,0.5908544426202976575
25.0,0.5284747686284697154
30.0,0.4824278270019382923
35.0,0.44664022195148133935
40.0,0.4177928230104639247
45.0,0.39389820847145327307
50.0,0.37368411919377835206
60.0,0.34112452523801884587
70.0,0.31581935045773808002
85.0,0.2866008854122466147
100.0,0.26423264174656227557
